"Incident.ID","Incident.Date","State","City.Or.County","Address","X..Victims.Injured","X..Victims.Killed","X..Subjects.Suspects.Injured","X..Subjects.Suspects.Killed","X..Subjects.Suspects.Arrested","Operations","event_type"
2615598,"June 3, 2023","Tennessee","Collierville","712 W Poplar Ave",0,1,0,0,0,"N/A","accidental_death"
2615784,"June 3, 2023","Texas","San Antonio","11300 block of Woollcott St",0,1,0,0,0,"N/A","accidental_death"
2613908,"June 1, 2023","Missouri","Saint Louis","3100 block of Brantner Pl",0,1,0,0,0,"N/A","accidental_death"
2613423,"May 31, 2023","Illinois","River Grove","2400 block of West St",0,1,0,0,0,"N/A","accidental_death"
2613673,"May 30, 2023","Alabama","Troy","900 block of Pike County Lake Rd",0,1,0,0,1,"N/A","accidental_death"
2611417,"May 29, 2023","Florida","Bonifay","115 Washington Dr",0,1,0,0,0,"N/A","accidental_death"
2613017,"May 28, 2023","Indiana","Crown Point","12000 block of Burr St",0,1,0,0,1,"N/A","accidental_death"
2610852,"May 28, 2023","New Mexico","Albuquerque","920 Louisiana Blvd SE",1,1,0,0,1,"N/A","accidental_death"
2609673,"May 27, 2023","Florida","Pompano Beach","4020 NE 5th Ave",0,1,0,0,0,"N/A","accidental_death"
2614060,"May 27, 2023","Texas","Cisco","N/A",0,1,0,0,0,"N/A","accidental_death"
2609601,"May 27, 2023","Illinois","Chicago","7900 block of S Ashland Ave",3,1,0,0,0,"N/A","accidental_death"
2608769,"May 25, 2023","Illinois","Matteson","800 block of Campus Ave",1,1,0,0,0,"N/A","accidental_death"
2603082,"May 19, 2023","Michigan","Grand Rapids (Kentwood)","2700 Mariner Dr SE",0,1,0,0,0,"N/A","accidental_death"
2601808,"May 18, 2023","North Carolina","Thomasville","100 block of Johnia Ct",0,1,0,0,1,"N/A","accidental_death"
2605694,"May 18, 2023","Georgia","Macon","3559 Joycliff Rd",0,1,0,0,1,"N/A","accidental_death"
2602266,"May 18, 2023","Arkansas","North Little Rock","5800 block of Lynch Dr",0,1,0,0,1,"N/A","accidental_death"
2598115,"May 14, 2023","Tennessee","Memphis","52 E Biscayne Rd",0,1,0,0,0,"N/A","accidental_death"
2600282,"May 13, 2023","West Virginia","Saint Albans","600 block of Walden Ln",0,1,0,0,0,"N/A","accidental_death"
2596883,"May 12, 2023","Indiana","Indianapolis","1355 N Kealing Ave",0,1,0,0,0,"N/A","accidental_death"
2596076,"May 12, 2023","California","Stockton","800 block of Flint Ave",0,1,0,0,1,"N/A","accidental_death"
2597139,"May 12, 2023","California","Los Angeles","S Central Ave and E 74th St",0,1,0,0,0,"N/A","accidental_death"
2596876,"May 12, 2023","Tennessee","Lenoir City","1485 Old Hwy 95",0,1,0,0,0,"N/A","accidental_death"
2599480,"May 12, 2023","Alabama","Semmes","Western Hills Dr S",0,1,1,0,0,"N/A","accidental_death"
2594311,"May 8, 2023","Indiana","Indianapolis","7601 Carlton Arms Dr",0,1,0,0,1,"N/A","accidental_death"
2590645,"May 7, 2023","Texas","Cypress","19700 block of Redwood Manor Ln",0,1,0,0,1,"N/A","accidental_death"
2591265,"May 7, 2023","West Virginia","Morgantown","501 Van Voorhis Rd",0,1,0,0,0,"N/A","accidental_death"
