"State","State.Code","Year","Year.Code","Deaths","Population","Crude.Rate","YoY"
"Alabama",1,2018,2018,1060,4887871,21.7,NA
"Alabama",1,2019,2019,1071,4903185,21.8,0.0102707749766573
"Alabama",1,2020,2020,1135,4921532,23.1,0.0563876651982379
"Alabama",1,2021,2021,1304,5039877,25.9,0.129601226993865
"Alaska",2,2018,2018,151,737438,20.5,NA
"Alaska",2,2019,2019,175,731545,23.9,0.137142857142857
"Alaska",2,2020,2020,170,731158,23.3,-0.0294117647058824
"Alaska",2,2021,2021,181,732673,24.7,0.0607734806629834
"Arizona",4,2018,2018,1122,7171646,15.6,NA
"Arizona",4,2019,2019,1123,7278717,15.4,0.000890471950133571
"Arizona",4,2020,2020,1235,7421401,16.6,0.0906882591093117
"Arizona",4,2021,2021,1339,7276316,18.4,0.0776699029126214
"Arkansas",5,2018,2018,559,3013825,18.5,NA
"Arkansas",5,2019,2019,571,3017804,18.9,0.021015761821366
"Arkansas",5,2020,2020,667,3030522,22,0.143928035982009
"Arkansas",5,2021,2021,691,3025891,22.8,0.0347322720694645
"California",6,2018,2018,2959,39557045,7.5,NA
"California",6,2019,2019,2869,39512223,7.3,-0.0313698152666434
"California",6,2020,2020,3350,39368078,8.5,0.143582089552239
"California",6,2021,2021,3487,39237836,8.9,0.0392887869228563
"Colorado",8,2018,2018,864,5695564,15.2,NA
"Colorado",8,2019,2019,825,5758736,14.3,-0.0472727272727273
"Colorado",8,2020,2020,900,5807719,15.5,0.0833333333333333
"Colorado",8,2021,2021,1035,5812069,17.8,0.130434782608696
"Connecticut",9,2018,2018,184,3572665,5.2,NA
"Connecticut",9,2019,2019,186,3565287,5.2,0.010752688172043
"Connecticut",9,2020,2020,214,3557006,6,0.130841121495327
"Connecticut",9,2021,2021,244,3605597,6.8,0.122950819672131
"Delaware",10,2018,2018,107,967171,11.1,NA
"Delaware",10,2019,2019,91,973764,9.3,-0.175824175824176
"Delaware",10,2020,2020,134,986809,13.6,0.32089552238806
"Delaware",10,2021,2021,156,1003384,15.5,0.141025641025641
"District of Columbia",11,2018,2018,125,702455,17.8,NA
"District of Columbia",11,2019,2019,140,705749,19.8,0.107142857142857
"District of Columbia",11,2020,2020,166,712816,23.3,0.156626506024096
"District of Columbia",11,2021,2021,183,670050,27.3,0.092896174863388
"Florida",12,2018,2018,2878,21299325,13.5,NA
