"State","State.Code","Year","Year.Code","Month","Month.Code","Deaths"
"Alabama",1,2021,2021,"Jan., 2021 ","2021/01","122"
"Alabama",1,2021,2021,"Feb., 2021 ","2021/02","104"
"Alabama",1,2021,2021,"Mar., 2021 ","2021/03","103"
"Alabama",1,2021,2021,"Apr., 2021 ","2021/04","102"
"Alabama",1,2021,2021,"May, 2021 ","2021/05","108"
"Alabama",1,2021,2021,"Jun., 2021 ","2021/06","128"
"Alabama",1,2021,2021,"Jul., 2021 ","2021/07","111"
"Alabama",1,2021,2021,"Aug., 2021 ","2021/08","105"
"Alabama",1,2021,2021,"Sep., 2021 ","2021/09","110"
"Alabama",1,2021,2021,"Oct., 2021 ","2021/10","126"
"Alabama",1,2021,2021,"Nov., 2021 ","2021/11","94"
"Alabama",1,2021,2021,"Dec., 2021 ","2021/12","91"
"Alaska",2,2021,2021,"Jan., 2021 ","2021/01","13"
"Alaska",2,2021,2021,"Feb., 2021 ","2021/02","10"
"Alaska",2,2021,2021,"Mar., 2021 ","2021/03","12"
"Alaska",2,2021,2021,"Apr., 2021 ","2021/04","18"
"Alaska",2,2021,2021,"May, 2021 ","2021/05","15"
"Alaska",2,2021,2021,"Jun., 2021 ","2021/06","20"
"Alaska",2,2021,2021,"Jul., 2021 ","2021/07","15"
"Alaska",2,2021,2021,"Aug., 2021 ","2021/08","19"
"Alaska",2,2021,2021,"Sep., 2021 ","2021/09","Suppressed"
"Alaska",2,2021,2021,"Oct., 2021 ","2021/10","20"
"Alaska",2,2021,2021,"Nov., 2021 ","2021/11","16"
"Alaska",2,2021,2021,"Dec., 2021 ","2021/12","14"
"Arizona",4,2021,2021,"Jan., 2021 ","2021/01","92"
"Arizona",4,2021,2021,"Feb., 2021 ","2021/02","100"
"Arizona",4,2021,2021,"Mar., 2021 ","2021/03","106"
"Arizona",4,2021,2021,"Apr., 2021 ","2021/04","117"
"Arizona",4,2021,2021,"May, 2021 ","2021/05","111"
"Arizona",4,2021,2021,"Jun., 2021 ","2021/06","107"
"Arizona",4,2021,2021,"Jul., 2021 ","2021/07","114"
"Arizona",4,2021,2021,"Aug., 2021 ","2021/08","126"
"Arizona",4,2021,2021,"Sep., 2021 ","2021/09","108"
"Arizona",4,2021,2021,"Oct., 2021 ","2021/10","114"
"Arizona",4,2021,2021,"Nov., 2021 ","2021/11","129"
"Arizona",4,2021,2021,"Dec., 2021 ","2021/12","115"
