,state,year,period,monthly_gun_deaths
0,Alabama,2021,2021-01-01,122.0
1,Alabama,2021,2021-02-01,104.0
2,Alabama,2021,2021-03-01,103.0
3,Alabama,2021,2021-04-01,102.0
4,Alabama,2021,2021-05-01,108.0
5,Alabama,2021,2021-06-01,128.0
6,Alabama,2021,2021-07-01,111.0
7,Alabama,2021,2021-08-01,105.0
8,Alabama,2021,2021-09-01,110.0
9,Alabama,2021,2021-10-01,126.0
10,Alabama,2021,2021-11-01,94.0
11,Alabama,2021,2021-12-01,91.0
12,Alaska,2021,2021-01-01,13.0
13,Alaska,2021,2021-02-01,10.0
14,Alaska,2021,2021-03-01,12.0
15,Alaska,2021,2021-04-01,18.0
16,Alaska,2021,2021-05-01,15.0
17,Alaska,2021,2021-06-01,20.0
18,Alaska,2021,2021-07-01,15.0
19,Alaska,2021,2021-08-01,19.0
20,Alaska,2021,2021-09-01,9.0
21,Alaska,2021,2021-10-01,20.0
22,Alaska,2021,2021-11-01,16.0
23,Alaska,2021,2021-12-01,14.0
24,Arizona,2021,2021-01-01,92.0
25,Arizona,2021,2021-02-01,100.0
26,Arizona,2021,2021-03-01,106.0
27,Arizona,2021,2021-04-01,117.0
28,Arizona,2021,2021-05-01,111.0
29,Arizona,2021,2021-06-01,107.0
30,Arizona,2021,2021-07-01,114.0
31,Arizona,2021,2021-08-01,126.0
32,Arizona,2021,2021-09-01,108.0
33,Arizona,2021,2021-10-01,114.0
34,Arizona,2021,2021-11-01,129.0
35,Arizona,2021,2021-12-01,115.0
36,Arkansas,2021,2021-01-01,49.0
37,Arkansas,2021,2021-02-01,57.0
38,Arkansas,2021,2021-03-01,61.0
39,Arkansas,2021,2021-04-01,72.0
40,Arkansas,2021,2021-05-01,67.0
41,Arkansas,2021,2021-06-01,60.0
42,Arkansas,2021,2021-07-01,48.0
43,Arkansas,2021,2021-08-01,53.0
44,Arkansas,2021,2021-09-01,57.0
45,Arkansas,2021,2021-10-01,62.0
46,Arkansas,2021,2021-11-01,53.0
47,Arkansas,2021,2021-12-01,52.0
48,California,2021,2021-01-01,331.0
49,California,2021,2021-02-01,243.0
50,California,2021,2021-03-01,272.0
51,California,2021,2021-04-01,268.0
52,California,2021,2021-05-01,300.0
53,California,2021,2021-06-01,316.0
54,California,2021,2021-07-01,324.0
55,California,2021,2021-08-01,303.0
56,California,2021,2021-09-01,299.0
57,California,2021,2021-10-01,280.0
58,California,2021,2021-11-01,270.0
59,California,2021,2021-12-01,281.0
60,Colorado,2021,2021-01-01,96.0
61,Colorado,2021,2021-02-01,72.0
62,Colorado,2021,2021-03-01,93.0
63,Colorado,2021,2021-04-01,74.0
64,Colorado,2021,2021-05-01,86.0
65,Colorado,2021,2021-06-01,98.0
66,Colorado,2021,2021-07-01,73.0
67,Colorado,2021,2021-08-01,83.0
68,Colorado,2021,2021-09-01,71.0
69,Colorado,2021,2021-10-01,90.0
70,Colorado,2021,2021-11-01,98.0
71,Colorado,2021,2021-12-01,101.0
72,Connecticut,2021,2021-01-01,20.0
73,Connecticut,2021,2021-02-01,15.0
74,Connecticut,2021,2021-03-01,19.0
75,Connecticut,2021,2021-04-01,12.0
76,Connecticut,2021,2021-05-01,33.0
77,Connecticut,2021,2021-06-01,26.0
78,Connecticut,2021,2021-07-01,28.0
79,Connecticut,2021,2021-08-01,20.0
80,Connecticut,2021,2021-09-01,20.0
81,Connecticut,2021,2021-10-01,15.0
82,Connecticut,2021,2021-11-01,16.0
83,Connecticut,2021,2021-12-01,20.0
84,Delaware,2021,2021-01-01,13.0
85,Delaware,2021,2021-02-01,7.0
86,Delaware,2021,2021-03-01,10.0
87,Delaware,2021,2021-04-01,18.0
88,Delaware,2021,2021-05-01,13.0
89,Delaware,2021,2021-06-01,15.0
90,Delaware,2021,2021-07-01,15.0
91,Delaware,2021,2021-08-01,15.0
92,Delaware,2021,2021-09-01,12.0
93,Delaware,2021,2021-10-01,11.0
94,Delaware,2021,2021-11-01,16.0
95,Delaware,2021,2021-12-01,11.0
96,District of Columbia,2021,2021-01-01,16.0
97,District of Columbia,2021,2021-02-01,11.0
98,District of Columbia,2021,2021-03-01,12.0
99,District of Columbia,2021,2021-04-01,17.0
100,District of Columbia,2021,2021-05-01,10.0
101,District of Columbia,2021,2021-06-01,11.0
102,District of Columbia,2021,2021-07-01,18.0
103,District of Columbia,2021,2021-08-01,17.0
104,District of Columbia,2021,2021-09-01,18.0
105,District of Columbia,2021,2021-10-01,23.0
106,District of Columbia,2021,2021-11-01,14.0
107,District of Columbia,2021,2021-12-01,16.0
108,Florida,2021,2021-01-01,258.0
109,Florida,2021,2021-02-01,261.0
110,Florida,2021,2021-03-01,243.0
111,Florida,2021,2021-04-01,235.0
112,Florida,2021,2021-05-01,270.0
113,Florida,2021,2021-06-01,272.0
114,Florida,2021,2021-07-01,280.0
115,Florida,2021,2021-08-01,254.0
116,Florida,2021,2021-09-01,256.0
117,Florida,2021,2021-10-01,282.0
118,Florida,2021,2021-11-01,245.0
119,Florida,2021,2021-12-01,261.0
120,Georgia,2021,2021-01-01,174.0
121,Georgia,2021,2021-02-01,145.0
122,Georgia,2021,2021-03-01,175.0
123,Georgia,2021,2021-04-01,156.0
124,Georgia,2021,2021-05-01,223.0
125,Georgia,2021,2021-06-01,173.0
126,Georgia,2021,2021-07-01,211.0
127,Georgia,2021,2021-08-01,176.0
128,Georgia,2021,2021-09-01,189.0
129,Georgia,2021,2021-10-01,190.0
130,Georgia,2021,2021-11-01,194.0
131,Georgia,2021,2021-12-01,172.0
132,Hawaii,2021,2021-01-01,5.2727272727272725
133,Hawaii,2021,2021-02-01,5.2727272727272725
134,Hawaii,2021,2021-03-01,5.2727272727272725
135,Hawaii,2021,2021-04-01,5.2727272727272725
136,Hawaii,2021,2021-05-01,5.2727272727272725
137,Hawaii,2021,2021-06-01,5.2727272727272725
138,Hawaii,2021,2021-07-01,5.2727272727272725
139,Hawaii,2021,2021-08-01,10.0
140,Hawaii,2021,2021-09-01,5.2727272727272725
