law_id,state,content,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
AK1002,Alaska,"It is unlawful for a person to carry concealed about his person, in any manner, [enumerated weapons].",0.0,0.0,0.004574694101792879,0.0,0.0,0.0,0.0,0.0,0.0,0.024978994649429972,0.01477439392814686,0.0,0.017702034278456336,0.17678726284426163,0.0,0.0,0.0,0.06519736373402915,0.0,0.0
AK1009,Alaska,"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",0.0,0.0,0.03325563283454621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03252864970108851,0.18703616149788113,0.0,0.0,0.053286175949364314,0.006900121760123756,0.0
AK1011,Alaska,A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age,0.0,0.0,0.08595179736808173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09209854251472553,0.0,0.0,0.0,0.14320271892676747,0.018687279196271674,0.0
AK1015,Alaska,"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",0.0,0.0,0.03325563283454621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03252864970108851,0.18703616149788113,0.0,0.0,0.053286175949364314,0.006900121760123756,0.0
AK1016,Alaska,A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age,0.0,0.0,0.08595179736808173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09209854251472553,0.0,0.0,0.0,0.14320271892676747,0.018687279196271674,0.0
AK1023,Alaska,"18.66.990(5): “household member” includes: (C) adults or minors who are dating or who have dated; (D) adults or minors who are engaged in or who have engaged in a sexual relationship.  188.66.100(c) A protective order under this section may: (6) prohibit the respondent from using or possessing a deadly weapon if the court finds the respondent was in the actual possession of or used a weapon during the commission of domestic violence;

(7) direct the respondent to surrender any firearm owned or possessed by the respondent if the court finds that the respondent was in the actual possession of or used a firearm during the commission of the domestic violence;",0.0,0.0008948642372646735,0.008360445012468664,0.0006974811696965296,0.17513465368444245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04013332841366122,0.004886217551277034,0.0,0.0,0.0,0.07762271068464693,0.0
AK1030,Alaska,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 

(A) after the most recent proposal of such transfer by the transferee— 

(i) the transferor has— 

(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 

(II) verified the identity of the transferee by examining the identification document presented; 

(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or (II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",0.2742548590726808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005158637761459444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK1031,Alaska,"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—

(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;

(B) (i) the system provides the licensee with a unique identification number; or

(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and

(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",0.0,0.0,0.0,0.4145261106618695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000685822723536529
AK1040,Alaska,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).",0.0,0.3699556194010858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK1041,Alaska,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless—“(A) after the most recent proposal of such transfer by the transferee—(ii)(I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or

“(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law",0.24548771283222964,0.0025690762679760285,0.0016029708560464835,0.0,0.0,0.0,0.0,0.002448012061699937,0.00028239737746762995,0.0,0.0,0.008346530888422353,0.0,0.0,0.0,0.007794635844268841,0.0,0.0,0.009439003509524858,0.060322773528005816
