law_id,state,content,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
AK1002,Alaska,"It is unlawful for a person to carry concealed about his person, in any manner, [enumerated weapons].",0.8056271,0.0,0.43562573,0.10209362,0.1843787,0.0070193573,0.06292574,0.21247917,1.3755695,0.053554308,0.28059724,0.0,0.20412342,0.0,0.023759717,0.09229911,0.0,0.05283007,0.023276802,0.3216955,0.02497947,0.9758192,0.0,0.117733665,0.0,0.0,0.0013015777,0.031408984,0.29588643,0.04740838
AK1009,Alaska,"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",0.94474417,0.09450073,0.0,0.7421601,0.576958,0.015630713,0.0,0.0,0.122024715,0.07906238,0.11717822,0.11030871,0.160766,0.2927093,0.16412827,0.15159258,0.0,0.13856883,0.0,1.8625321,0.4206931,0.0,0.6337353,0.0,0.22004312,0.0,0.2464471,0.0,0.0,0.1153215
AK1011,Alaska,A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age,0.873451,0.3859736,0.9049495,0.0,0.054036945,0.0,0.07922028,0.026419878,0.98930514,0.0,0.70698476,0.0,0.0,0.014157034,0.13015983,0.054887563,0.008071715,0.0,0.0,0.0,0.0,0.44061103,0.07020701,0.13246152,0.11552291,0.06604022,0.0,0.03768148,0.8069138,0.0
AK1015,Alaska,"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",0.9447434,0.094501846,0.0,0.74216115,0.57695836,0.015631579,0.0,0.0,0.122025564,0.07906245,0.11717797,0.110308714,0.16076614,0.29270867,0.16412789,0.15159264,0.0,0.13856785,0.0,1.8625289,0.42069247,0.0,0.63373524,0.0,0.22004294,0.0,0.24644718,0.0,0.0,0.11532177
AK1016,Alaska,A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age,0.87345105,0.3859738,0.90494937,0.0,0.054037493,0.0,0.07921936,0.0264205,0.9893053,0.0,0.70698494,0.0,0.0,0.014156666,0.13016005,0.05488763,0.0080717765,0.0,0.0,0.0,0.0,0.44061098,0.07020666,0.13246128,0.115522586,0.066040285,0.0,0.03768144,0.80691314,0.0
AK1023,Alaska,"18.66.990(5): “household member” includes: (C) adults or minors who are dating or who have dated; (D) adults or minors who are engaged in or who have engaged in a sexual relationship.  188.66.100(c) A protective order under this section may: (6) prohibit the respondent from using or possessing a deadly weapon if the court finds the respondent was in the actual possession of or used a weapon during the commission of domestic violence;

(7) direct the respondent to surrender any firearm owned or possessed by the respondent if the court finds that the respondent was in the actual possession of or used a firearm during the commission of the domestic violence;",0.81694657,0.29262325,0.24105391,0.0,1.1535726,0.0,0.0,0.112768196,0.64569116,0.3216719,0.14622208,0.012902586,0.1685073,0.06595849,0.0,0.0,0.07068144,0.0,0.25379926,0.093298465,0.0,0.1799144,0.0,0.21319422,0.0,0.37559554,0.22833467,0.0,0.102184765,0.1543722
AK1030,Alaska,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 

(A) after the most recent proposal of such transfer by the transferee— 

(i) the transferor has— 

(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 

(II) verified the identity of the transferee by examining the identification document presented; 

(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or (II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",1.1511353,0.47370034,0.0,0.0,0.08025159,0.0,0.0,0.093013935,0.0,1.0072198,0.0,0.0,0.0,0.56479555,0.00434258,0.0,0.0,0.52656245,0.0050880294,0.0,0.24801959,0.15103097,0.0,0.07347436,1.1349843,0.0,0.0,0.25353166,0.0,0.0
AK1031,Alaska,"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—

(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;

(B) (i) the system provides the licensee with a unique identification number; or

(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and

(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",1.1304172,1.5503243,0.21898234,0.0,0.14654474,0.007938539,0.0,0.6401283,0.0,0.023163578,0.0,0.0,0.0,0.6312572,0.0,0.38286835,0.9817448,0.11863982,0.0,0.0,0.3245423,0.0,0.0,0.058814712,0.35597807,0.0,0.0,0.0,0.62465256,0.0041750716
AK1040,Alaska,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).",0.13358068,0.29699978,0.15381995,0.049369764,0.0,0.90547794,0.0,0.0,0.09114304,0.012774132,0.063323654,1.6589923,0.0,0.091277376,0.0,0.01802893,0.0,0.094415195,0.0,0.0,0.006744983,0.0,0.0,0.6394632,0.06411509,0.0,0.2043963,0.0,0.97804755,0.0
AK1041,Alaska,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless—“(A) after the most recent proposal of such transfer by the transferee—(ii)(I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or

“(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law",0.91828334,1.3704702,0.0,0.2665788,0.0,0.08215947,0.24789539,0.5424979,0.00031241786,0.0,0.0,0.06480033,0.0,0.47689304,0.007464755,0.0,0.9520826,0.009890062,0.0014752656,0.0,0.16972305,0.153202,0.092758045,0.0,0.22485533,0.0,0.16510114,0.028859995,0.9347251,0.2621134
AK1044,Alaska,"If a peace officer investigating a crime involving domestic violence determines that it is necessary to protect the victim or the victim's family from domestic violence or to protect the officer or the public during the investigation, the officer may (1) seize a deadly weapon in plain view of the officer, and (2) if a deadly weapon was actually possessed during or used in the domestic violence, seize all deadly weapons owned, used, possessed, or within the control of the alleged perpetrator. If the weapon is not needed as evidence in a criminal case, the law enforcement agency having custody of the weapon, within 24 hours of making the determination that the weapon is not needed as evidence in a criminal case, shall make the weapon available for pickup by the owner of the weapon during regular business hours.",0.6669247,0.23378351,0.083801806,0.11824912,0.3244805,0.01890538,0.15258184,0.6016916,0.0445746,0.19934094,0.0,0.31561336,0.16261388,0.27942252,0.003968342,0.043377247,0.28333834,0.0,0.16551323,1.7714568,0.21510011,0.10354768,0.0073949164,0.009563091,0.12763494,0.12104488,0.07599279,0.0,1.0456766,0.29904222
AK1047,Alaska,"The authority to regulate firearms and knives is reserved to the state, and, except as specifically provided by statute, a municipality may not enact or enforce an ordinance regulating the possession, ownership, sale, transfer, use, carrying, transportation, licensing, taxation, or registration of firearms or knives.",0.9382109,0.0,0.5127021,0.33947307,0.036971573,0.07322744,0.0,0.0,0.28382108,0.12705661,0.0805819,0.2108938,0.55926186,0.114216544,0.046218187,0.04428576,0.0429281,0.0,0.11855352,0.24546927,0.22623967,0.3920855,0.73615044,0.0,0.0,0.14845206,0.117685854,0.0077569233,1.4258406,0.030022008
