Location,Total Residents,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Male,Female,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Under 100%,100-199%,200-399%,400%+,Median Annual Household Income,Unemployed
United States,"323,175,700",0.235,0.085,0.123,0.257,0.131,0.169,0.492,0.508,0.582,0.116,0.19,0.057,0.005,0.002,0.049,0.128,0.158,0.292,0.421,"$69,717 ",0.036
Alabama,4900800,0.236,0.087,0.113,0.251,0.137,0.177,0.481,0.519,0.644,0.255,0.047,0.013,0.004,N/A,0.037,0.16,0.193,0.318,0.329,"$53,913 ",0.029
Alaska,698700,0.264,0.085,0.132,0.258,0.125,0.137,0.512,0.488,0.579,0.026,0.067,0.07,0.138,0.015,0.105,0.11,0.13,0.324,0.436,"$77,845 ",0.05
Arizona,7107300,0.236,0.088,0.123,0.245,0.122,0.186,0.495,0.505,0.521,0.041,0.324,0.033,0.033,0.002,0.047,0.129,0.171,0.313,0.387,"$69,056 ",0.033
Arkansas,2936400,0.246,0.087,0.115,0.247,0.13,0.174,0.49,0.51,0.683,0.144,0.083,0.014,0.004,0.004,0.068,0.164,0.213,0.326,0.297,"$52,528 ",0.031
California,38379200,0.236,0.087,0.134,0.266,0.123,0.153,0.497,0.503,0.342,0.051,0.403,0.151,0.002,0.003,0.047,0.123,0.153,0.273,0.451,"$84,907 ",0.049
Colorado,5664200,0.227,0.086,0.141,0.27,0.123,0.153,0.502,0.498,0.653,0.036,0.222,0.031,0.003,0.002,0.053,0.099,0.128,0.276,0.497,"$82,254 ",0.037
Connecticut,3501500,0.216,0.083,0.114,0.259,0.147,0.18,0.489,0.511,0.628,0.097,0.178,0.047,0.001,N/A,0.049,0.101,0.121,0.246,0.532,"$83,771 ",0.046
Delaware,974100,0.218,0.078,0.113,0.243,0.147,0.201,0.481,0.519,0.595,0.203,0.102,0.041,N/A,N/A,0.057,0.112,0.14,0.291,0.457,"$71,091 ",0.045
District of Columbia,633400,0.198,0.079,0.21,0.278,0.103,0.132,0.475,0.525,0.359,0.431,0.115,0.038,N/A,N/A,0.055,0.165,0.085,0.175,0.575,"$90,088 ",0.06
