state,topic,description,rank,topic_coefficient
Alabama,Topic 17,"A firearms dealer must obtain a completed statement of intent, inspect proof of identity, and request a records check before transferring any handgun.",1,-3.684242112
Alabama,Topic 25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check.",2,-3.32223051
Alabama,Topic 15,"Peace officers must arrest and charge a person suspected of committing a family violence crime, regardless of victim consent, relationship between suspects, or victim's request.",3,-3.208207721
Alabama,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,4,-0.3881752485
Alabama,Topic 7,"Purchasing of antique cannons, rifles, and shotguns is prohibited, and applications for permits to purchase handguns and firearms purchaser identification cards must be in the form prescribed by the b.",5,-0.3765563146
Alabama,Topic 22,"No handgun shall be delivered to any person without a valid permit to purchase a firearm and at least seven days have elapsed, nor shall any pistol or revolver be delivered within five days of application.",6,-0.04004363957
Alabama,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",7,-1.31E-06
Alabama,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,8,0
Alabama,Topic 18,"Any person who knowingly and intentionally sells, delivers, or transfers a firearm in violation commits a misdemeanor of the second degree.",9,0
Alabama,Topic 26,The court may enter temporary orders to protect the plaintiff or minor child from abuse and may direct the defendant not to possess a firearm or other dangerous weapon.,10,0
Alaska,Topic 17,"A firearms dealer must obtain a completed statement of intent, inspect proof of identity, and request a records check before transferring any handgun.",1,-0.05881647061
Alaska,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",2,-0.04153825594
Alaska,Topic 25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check.",3,-0.04099766334
Alaska,Topic 15,"Peace officers must arrest and charge a person suspected of committing a family violence crime, regardless of victim consent, relationship between suspects, or victim's request.",4,-0.04011016471
Alaska,Topic 23,"No person or organization may sell, purchase, or repair firearms, destructive devices, parts, or ammunition without a dealer's license; registrants must comply with all duties imposed by this act.",5,-0.03986919612
Alaska,Topic 29,"A protective order is a restraining order issued ex parte, after notice and hearing, or in a judgment, and prohibits a person subject to the order from owning, possessing, purchasing, or receiving firearms or ammunition while in effect.",6,-0.03379296632
Alaska,Topic 12,"A licensing authority may grant a permit to purchase, rent, or lease firearms to adults, and the state has the authority to regulate firearms and knives, while municipalities may not.",7,-0.01900784906
Alaska,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,8,-0.01111002627
Alaska,Topic 27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission.",9,-0.01031871329
Alaska,Topic 11,The common law castle doctrine in the US established that a person attacked in their home had the right to use deadly force only if they reasonably believed it necessary to protect themselves.,10,-0.009946293247
Arizona,Topic 12,"A licensing authority may grant a permit to purchase, rent, or lease firearms to adults, and the state has the authority to regulate firearms and knives, while municipalities may not.",1,-0.8243458004
Arizona,Topic 29,"A protective order is a restraining order issued ex parte, after notice and hearing, or in a judgment, and prohibits a person subject to the order from owning, possessing, purchasing, or receiving firearms or ammunition while in effect.",2,-0.425705069
Arizona,Topic 5,Selling firearms without a valid license is a misdemeanor,3,-0.1658620106
Arizona,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",4,-0.1249408605
Arizona,Topic 10,"A person shall not possess a firearm if they have entered a plea of guilty but mentally ill, and a person must report the loss or theft of any firearm or dangerous ordnance to law enforcement immediately.",5,-0.01556553528
Arizona,Topic 9,"A court may issue an ex parte gun violence restraining order if a petition, affidavit and additional information show substantial likelihood of person's danger.",6,-0.00829403744
Arizona,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,7,-0.008212826974
Arizona,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",8,-2.00E-07
Arizona,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,9,0
Arizona,Topic 26,The court may enter temporary orders to protect the plaintiff or minor child from abuse and may direct the defendant not to possess a firearm or other dangerous weapon.,10,0
Arkansas,Topic 23,"No person or organization may sell, purchase, or repair firearms, destructive devices, parts, or ammunition without a dealer's license; registrants must comply with all duties imposed by this act.",1,-0.5477208767
Arkansas,Topic 15,"Peace officers must arrest and charge a person suspected of committing a family violence crime, regardless of victim consent, relationship between suspects, or victim's request.",2,-0.2337953672
Arkansas,Topic 10,"A person shall not possess a firearm if they have entered a plea of guilty but mentally ill, and a person must report the loss or theft of any firearm or dangerous ordnance to law enforcement immediately.",3,-0.07190323112
Arkansas,Topic 27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission.",4,-0.03002180701
Arkansas,Topic 4,"Selling Saturday night special pistols is a gross misdemeanor, and “family or household members” includes persons in a significant romantic or sexual relationship.",5,-0.01829905498
Arkansas,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,6,-0.007959154292
Arkansas,Topic 9,"A court may issue an ex parte gun violence restraining order if a petition, affidavit and additional information show substantial likelihood of person's danger.",7,-0.001835071001
Arkansas,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,8,0
Arkansas,Topic 18,"Any person who knowingly and intentionally sells, delivers, or transfers a firearm in violation commits a misdemeanor of the second degree.",9,0
Arkansas,Topic 26,The court may enter temporary orders to protect the plaintiff or minor child from abuse and may direct the defendant not to possess a firearm or other dangerous weapon.,10,0
